Vulnerability Name,Risk Severity,CVSS Score,Vulnerability CVE IDs,Distribution,OS State,Hardware Configuration,Vulnerability Scanner
Fedora: Security Advisory for kernel (FEDORA-2023-4df366ee80),Medium,5.5,CVE-2023-6560,Fedora,fully updated,Laptop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-d16d94b00d),Medium,5.5,"CVE-2024-23850, CVE-2024-23851, CVE-2023-52437, CVE-2024-26585, CVE-2024-26582, CVE-2024-26584, CVE-2024-26583, CVE-2024-26593, CVE-2024-26603, CVE-2024-26604, CVE-2024-26606",Fedora,fully updated,Desktop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-88847bc77a),Medium,5.5,"CVE-2024-1151, CVE-2023-52429",Fedora,fully updated,Desktop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-88847bc77a),Medium,5.5,"CVE-2024-1151, CVE-2023-52429",Fedora,fully updated,Laptop,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Fedora,fully updated,Laptop,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Fedora,fully updated,Server,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Fedora,fully updated,Desktop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Fedora,fully updated,Laptop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Fedora,fully updated,Desktop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Fedora,fully updated,Server,GVM
Fedora: Security Advisory for openvpn (FEDORA-2023-d9d55a0bfc),Critical,9.8,"CVE-2023-46849, CVE-2023-46850",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for openvpn (FEDORA-2023-d9d55a0bfc),Critical,9.8,"CVE-2023-46849, CVE-2023-46850",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for virtiofsd (FEDORA-2024-04877592b7),Critical,9.8,CVE-2023-50711,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for xorg-x11-server-Xwayland (FEDORA-2024-da3d410b53),Critical,9.8,"CVE-2023-6816, CVE-2024-0229, CVE-2024-21885, CVE-2024-21886, CVE-2024-0408, CVE-2024-0409",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for openvpn (FEDORA-2023-d9d55a0bfc),Critical,9.8,"CVE-2023-46849, CVE-2023-46850",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for virtiofsd (FEDORA-2024-04877592b7),Critical,9.8,CVE-2023-50711,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for xorg-x11-server-Xwayland (FEDORA-2024-da3d410b53),Critical,9.8,"CVE-2023-6816, CVE-2024-0229, CVE-2024-21885, CVE-2024-21886, CVE-2024-0408, CVE-2024-0409",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for xorg-x11-server-Xwayland (FEDORA-2024-da3d410b53),Critical,9.8,"CVE-2023-6816, CVE-2024-0229, CVE-2024-21885, CVE-2024-21886, CVE-2024-0408, CVE-2024-0409",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for virtiofsd (FEDORA-2024-04877592b7),Critical,9.8,CVE-2023-50711,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for xorg-x11-server-Xwayland (FEDORA-2023-93940b58fd),High,7.8,"CVE-2023-6377, CVE-2023-6478",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for xorg-x11-server-Xwayland (FEDORA-2023-2eb445d52b),High,7.8,CVE-2023-5367,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for xorg-x11-server-Xwayland (FEDORA-2023-93940b58fd),High,7.8,"CVE-2023-6377, CVE-2023-6478",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for xorg-x11-server-Xwayland (FEDORA-2023-93940b58fd),High,7.8,"CVE-2023-6377, CVE-2023-6478",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for kernel (FEDORA-2023-a7b89262c6),High,7.8,CVE-2023-6111,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for microcode_ctl (FEDORA-2023-e4cb865604),High,7.8,CVE-2023-23583,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for microcode_ctl (FEDORA-2023-e4cb865604),High,7.8,CVE-2023-23583,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-2116a8468b),High,7.8,"CVE-2023-6679, CVE-2024-23849, CVE-2024-1086",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for glibc (FEDORA-2024-aec80d6e8a),High,7.8,"CVE-2023-6246, CVE-2023-6779, CVE-2023-6780",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-2116a8468b),High,7.8,"CVE-2023-6679, CVE-2024-23849, CVE-2024-1086",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-2116a8468b),High,7.8,"CVE-2023-6679, CVE-2024-23849, CVE-2024-1086",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for glibc (FEDORA-2024-aec80d6e8a),High,7.8,"CVE-2023-6246, CVE-2023-6779, CVE-2023-6780",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for xorg-x11-server-Xwayland (FEDORA-2023-2eb445d52b),High,7.8,CVE-2023-5367,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for kernel (FEDORA-2023-a7b89262c6),High,7.8,CVE-2023-6111,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for libcap (FEDORA-2023-ad944c2d34),High,7.8,"CVE-2023-2602, CVE-2023-2603",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for glibc (FEDORA-2024-aec80d6e8a),High,7.8,"CVE-2023-6246, CVE-2023-6779, CVE-2023-6780",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for libcap (FEDORA-2023-ad944c2d34),High,7.8,"CVE-2023-2602, CVE-2023-2603",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for libcap (FEDORA-2023-ad944c2d34),High,7.8,"CVE-2023-2602, CVE-2023-2603",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for xorg-x11-server-Xwayland (FEDORA-2023-2eb445d52b),High,7.8,CVE-2023-5367,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for microcode_ctl (FEDORA-2023-e4cb865604),High,7.8,CVE-2023-23583,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for kernel (FEDORA-2023-a7b89262c6),High,7.8,CVE-2023-6111,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for mbedtls (FEDORA-2023-0352951853),High,7.5,CVE-2023-43615,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-50ab089b1d),High,7.5,"CVE-2023-6536, CVE-2023-6535, CVE-2023-6356, CVE-2023-46838",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for open-vm-tools (FEDORA-2023-86a50ffc72),High,7.5,"CVE-2023-34058, CVE-2023-34059",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for mbedtls (FEDORA-2024-bfd98be425),High,7.5,"CVE-2024-23170, CVE-2024-23775",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for mbedtls (FEDORA-2023-0352951853),High,7.5,CVE-2023-43615,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for ImageMagick (FEDORA-2024-6f8c1d9005),High,7.5,"CVE-2023-5341, CVE-2022-48541",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for httpd (FEDORA-2023-606f830772),High,7.5,CVE-2023-31122,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for gnutls (FEDORA-2024-80428c408c),High,7.5,"CVE-2024-0567, CVE-2024-0553, CVE-2023-5981",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for dnsmasq (FEDORA-2024-e24211eff0),High,7.5,"CVE-2023-50868, CVE-2023-50387",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for gnutls (FEDORA-2024-80428c408c),High,7.5,"CVE-2024-0567, CVE-2024-0553, CVE-2023-5981",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for open-vm-tools (FEDORA-2023-86a50ffc72),High,7.5,"CVE-2023-34058, CVE-2023-34059",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for open-vm-tools (FEDORA-2023-86a50ffc72),High,7.5,"CVE-2023-34058, CVE-2023-34059",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for dnsmasq (FEDORA-2024-e24211eff0),High,7.5,"CVE-2023-50868, CVE-2023-50387",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for mod_http2 (FEDORA-2023-492b7be466),High,7.5,"CVE-2023-44487, CVE-2023-45802",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for mod_http2 (FEDORA-2023-492b7be466),High,7.5,"CVE-2023-44487, CVE-2023-45802",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for httpd (FEDORA-2023-606f830772),High,7.5,CVE-2023-31122,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for ImageMagick (FEDORA-2024-6f8c1d9005),High,7.5,"CVE-2023-5341, CVE-2022-48541",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for mbedtls (FEDORA-2024-bfd98be425),High,7.5,"CVE-2024-23170, CVE-2024-23775",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for httpd (FEDORA-2023-606f830772),High,7.5,CVE-2023-31122,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for ImageMagick (FEDORA-2024-6f8c1d9005),High,7.5,"CVE-2023-5341, CVE-2022-48541",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-50ab089b1d),High,7.5,"CVE-2023-6536, CVE-2023-6535, CVE-2023-6356, CVE-2023-46838",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for mbedtls (FEDORA-2023-0352951853),High,7.5,CVE-2023-43615,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for mbedtls (FEDORA-2024-bfd98be425),High,7.5,"CVE-2024-23170, CVE-2024-23775",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-50ab089b1d),High,7.5,"CVE-2023-6536, CVE-2023-6535, CVE-2023-6356, CVE-2023-46838",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for dnsmasq (FEDORA-2024-e24211eff0),High,7.5,"CVE-2023-50868, CVE-2023-50387",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for mod_http2 (FEDORA-2023-492b7be466),High,7.5,"CVE-2023-44487, CVE-2023-45802",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for gnutls (FEDORA-2024-80428c408c),High,7.5,"CVE-2024-0567, CVE-2024-0553, CVE-2023-5981",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for sudo (FEDORA-2024-cdccda4f62),High,7,CVE-2023-42465,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for sudo (FEDORA-2024-cdccda4f62),High,7,CVE-2023-42465,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for sudo (FEDORA-2024-cdccda4f62),High,7,CVE-2023-42465,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for opensc (FEDORA-2023-a854153d7a),Medium,6.6,"CVE-2023-40660, CVE-2023-4535, CVE-2023-40661",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for opensc (FEDORA-2023-a854153d7a),Medium,6.6,"CVE-2023-40660, CVE-2023-4535, CVE-2023-40661",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for opensc (FEDORA-2023-a854153d7a),Medium,6.6,"CVE-2023-40660, CVE-2023-4535, CVE-2023-40661",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for openssh (FEDORA-2024-7e301327c2),Medium,6.5,"CVE-2023-51385, CVE-2023-48795, CVE-2023-51384",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for curl (FEDORA-2023-9de8973300),Medium,6.5,"CVE-2023-46219, CVE-2023-46218",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for openssh (FEDORA-2024-7e301327c2),Medium,6.5,"CVE-2023-51385, CVE-2023-48795, CVE-2023-51384",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for wpa_supplicant (FEDORA-2024-a95bdde55b),Medium,6.5,CVE-2023-52160,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for wpa_supplicant (FEDORA-2024-a95bdde55b),Medium,6.5,CVE-2023-52160,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for openssh (FEDORA-2024-7e301327c2),Medium,6.5,"CVE-2023-51385, CVE-2023-48795, CVE-2023-51384",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for curl (FEDORA-2023-9de8973300),Medium,6.5,"CVE-2023-46219, CVE-2023-46218",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for wpa_supplicant (FEDORA-2024-a95bdde55b),Medium,6.5,CVE-2023-52160,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for curl (FEDORA-2023-9de8973300),Medium,6.5,"CVE-2023-46219, CVE-2023-46218",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for bluez (FEDORA-2023-6a3fe615d3),Medium,6.3,CVE-2023-45866,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for bluez (FEDORA-2023-6a3fe615d3),Medium,6.3,CVE-2023-45866,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for bluez (FEDORA-2023-6a3fe615d3),Medium,6.3,CVE-2023-45866,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for libssh (FEDORA-2023-0733306be9),Medium,5.9,"CVE-2023-48795, CVE-2023-6004, CVE-2023-6918",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for systemd (FEDORA-2024-b8312ca5b3),Medium,5.9,CVE-2023-7008,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for podman (FEDORA-2024-3bb23c77f3),Medium,5.9,CVE-2023-48795,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for podman (FEDORA-2024-3bb23c77f3),Medium,5.9,CVE-2023-48795,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for systemd (FEDORA-2024-b8312ca5b3),Medium,5.9,CVE-2023-7008,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for libssh (FEDORA-2023-0733306be9),Medium,5.9,"CVE-2023-48795, CVE-2023-6004, CVE-2023-6918",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for podman (FEDORA-2024-3bb23c77f3),Medium,5.9,CVE-2023-48795,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for systemd (FEDORA-2024-b8312ca5b3),Medium,5.9,CVE-2023-7008,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for libssh (FEDORA-2023-0733306be9),Medium,5.9,"CVE-2023-48795, CVE-2023-6004, CVE-2023-6918",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-0eb4a61f45),Medium,5.5,CVE-2023-7042,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for oneVPL (FEDORA-2023-ea65146fd4),Medium,5.5,"CVE-2023-22338, CVE-2023-22840",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for oneVPL-intel-gpu (FEDORA-2023-ea65146fd4),Medium,5.5,"CVE-2023-22338, CVE-2023-22840",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for gdb (FEDORA-2023-89ade611ee),Medium,5.5,"CVE-2022-48065, CVE-2022-48064",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for coreutils (FEDORA-2024-6b85e8848f),Medium,5.5,CVE-2024-0684,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for espeak-ng (FEDORA-2024-5661c87b25),Medium,5.5,"CVE-2023-49990, CVE-2023-49991, CVE-2023-49992, CVE-2023-49993, CVE-2023-49994",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for gdb (FEDORA-2023-89ade611ee),Medium,5.5,"CVE-2022-48065, CVE-2022-48064",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for coreutils (FEDORA-2024-6b85e8848f),Medium,5.5,CVE-2024-0684,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for espeak-ng (FEDORA-2024-5661c87b25),Medium,5.5,"CVE-2023-49990, CVE-2023-49991, CVE-2023-49992, CVE-2023-49993, CVE-2023-49994",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for kernel (FEDORA-2023-26ffe7d3c7),Medium,5.5,CVE-2023-6622,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for kernel (FEDORA-2023-4df366ee80),Medium,5.5,CVE-2023-6560,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for kernel (FEDORA-2023-26ffe7d3c7),Medium,5.5,CVE-2023-6622,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-88847bc77a),Medium,5.5,"CVE-2024-1151, CVE-2023-52429",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-d16d94b00d),Medium,5.5,"CVE-2024-23850, CVE-2024-23851, CVE-2023-52437, CVE-2024-26585, CVE-2024-26582, CVE-2024-26584, CVE-2024-26583, CVE-2024-26593, CVE-2024-26603, CVE-2024-26604, CVE-2024-26606",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for libXpm (FEDORA-2023-c4cf6646b9),Medium,5.5,"CVE-2023-43788, CVE-2023-43789, CVE-2023-43786",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for coreutils (FEDORA-2024-6b85e8848f),Medium,5.5,CVE-2024-0684,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for espeak-ng (FEDORA-2024-5661c87b25),Medium,5.5,"CVE-2023-49990, CVE-2023-49991, CVE-2023-49992, CVE-2023-49993, CVE-2023-49994",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for oneVPL (FEDORA-2023-ea65146fd4),Medium,5.5,"CVE-2023-22338, CVE-2023-22840",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for oneVPL-intel-gpu (FEDORA-2023-ea65146fd4),Medium,5.5,"CVE-2023-22338, CVE-2023-22840",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for kernel (FEDORA-2023-4df366ee80),Medium,5.5,CVE-2023-6560,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-0eb4a61f45),Medium,5.5,CVE-2023-7042,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-88847bc77a),Medium,5.5,"CVE-2024-1151, CVE-2023-52429",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-d16d94b00d),Medium,5.5,"CVE-2024-23850, CVE-2024-23851, CVE-2023-52437, CVE-2024-26585, CVE-2024-26582, CVE-2024-26584, CVE-2024-26583, CVE-2024-26593, CVE-2024-26603, CVE-2024-26604, CVE-2024-26606",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for gdb (FEDORA-2023-89ade611ee),Medium,5.5,"CVE-2022-48065, CVE-2022-48064",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for libXpm (FEDORA-2023-c4cf6646b9),Medium,5.5,"CVE-2023-43788, CVE-2023-43789, CVE-2023-43786",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for kernel (FEDORA-2023-4df366ee80),Medium,5.5,CVE-2023-6560,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for kernel (FEDORA-2023-26ffe7d3c7),Medium,5.5,CVE-2023-6622,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-0eb4a61f45),Medium,5.5,CVE-2023-7042,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-88847bc77a),Medium,5.5,"CVE-2024-1151, CVE-2023-52429",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-d16d94b00d),Medium,5.5,"CVE-2024-23850, CVE-2024-23851, CVE-2023-52437, CVE-2024-26585, CVE-2024-26582, CVE-2024-26584, CVE-2024-26583, CVE-2024-26593, CVE-2024-26603, CVE-2024-26604, CVE-2024-26606",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for libXpm (FEDORA-2023-c4cf6646b9),Medium,5.5,"CVE-2023-43788, CVE-2023-43789, CVE-2023-43786",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for oneVPL (FEDORA-2023-ea65146fd4),Medium,5.5,"CVE-2023-22338, CVE-2023-22840",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for oneVPL-intel-gpu (FEDORA-2023-ea65146fd4),Medium,5.5,"CVE-2023-22338, CVE-2023-22840",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for podman (FEDORA-2023-00c78aad58),Medium,5,,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for gstreamer1-plugin-libav (FEDORA-2023-6a4aea6d13),Medium,5,"CVE-2023-44429, CVE-2023-44446",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for gstreamer1-plugins-bad-free (FEDORA-2023-6a4aea6d13),Medium,5,"CVE-2023-44429, CVE-2023-44446",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for gstreamer1-plugins-good (FEDORA-2023-6a4aea6d13),Medium,5,"CVE-2023-44429, CVE-2023-44446",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for gstreamer1-plugins-ugly-free (FEDORA-2023-6a4aea6d13),Medium,5,"CVE-2023-44429, CVE-2023-44446",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for gstreamer1-plugins-base (FEDORA-2023-6a4aea6d13),Medium,5,"CVE-2023-44429, CVE-2023-44446",Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for firefox (FEDORA-2024-14dea9640b),Medium,5,,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for firefox (FEDORA-2024-bc8ea2c2cb),Medium,5,,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for firefox (FEDORA-2023-9de52d46bd),Medium,5,,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for firefox (FEDORA-2023-2bd5892754),Medium,5,,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for sos (FEDORA-2024-a2129a4eb5),Medium,5,,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for expat (FEDORA-2024-269826c2b3),Medium,5,,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for gnutls (FEDORA-2023-e075ac32be),Medium,5,,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for firefox (FEDORA-2024-bc8ea2c2cb),Medium,5,,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for nss (FEDORA-2023-9de52d46bd),Medium,5,,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for dnsmasq (FEDORA-2024-b359bbdf87),Medium,5,,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for firefox (FEDORA-2024-14dea9640b),Medium,5,,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for gstreamer1-plugins-good (FEDORA-2023-6a4aea6d13),Medium,5,"CVE-2023-44429, CVE-2023-44446",Fedora,freshly installed,Laptop,GVM
